Salesperson_ID,Target_Month,Monthly_Target
SP058,2026-06-01,600000
SP059,2026-06-01,600000
SP060,2026-06-01,1000000
SP061,2026-06-01,750000
SP062,2026-06-01,1000000
SP063,2026-06-01,500000
SP064,2026-06-01,600000
SP065,2026-06-01,750000
SP066,2026-06-01,600000
SP067,2026-06-01,900000
SP068,2026-06-01,500000
SP069,2026-06-01,1000000
SP070,2026-06-01,750000
SP071,2026-06-01,750000
SP072,2026-06-01,500000
SP073,2026-06-01,600000
SP074,2026-06-01,1200000
SP075,2026-06-01,600000
SP076,2026-06-01,750000
SP077,2026-06-01,750000
SP078,2026-06-01,1200000
SP079,2026-06-01,1000000
SP080,2026-06-01,600000
SP001,2026-07-01,500000
SP002,2026-07-01,600000
SP003,2026-07-01,1000000
SP004,2026-07-01,900000
SP005,2026-07-01,600000
SP006,2026-07-01,600000
SP007,2026-07-01,1000000
SP008,2026-07-01,750000
SP009,2026-07-01,1000000
SP010,2026-07-01,600000
SP011,2026-07-01,900000
SP012,2026-07-01,750000
SP013,2026-07-01,900000
SP014,2026-07-01,600000
SP015,2026-07-01,500000
SP016,2026-07-01,1200000
SP017,2026-07-01,1000000
SP018,2026-07-01,1200000
SP019,2026-07-01,900000
SP020,2026-07-01,600000
SP021,2026-07-01,600000
SP022,2026-07-01,900000
SP023,2026-07-01,600000
SP024,2026-07-01,750000
SP025,2026-07-01,750000
SP026,2026-07-01,600000
SP027,2026-07-01,900000
SP028,2026-07-01,1000000
SP029,2026-07-01,1000000
SP030,2026-07-01,500000
SP031,2026-07-01,750000
SP032,2026-07-01,1200000
SP033,2026-07-01,900000
SP034,2026-07-01,900000
SP035,2026-07-01,900000
SP036,2026-07-01,500000
SP037,2026-07-01,1200000
SP038,2026-07-01,900000
SP039,2026-07-01,500000
SP040,2026-07-01,600000
SP041,2026-07-01,600000
SP042,2026-07-01,750000
SP043,2026-07-01,1000000
SP044,2026-07-01,1200000
SP045,2026-07-01,1200000
SP046,2026-07-01,1200000
SP047,2026-07-01,600000
SP048,2026-07-01,500000
SP049,2026-07-01,750000
SP050,2026-07-01,900000
SP051,2026-07-01,750000
SP052,2026-07-01,600000
SP053,2026-07-01,600000
SP054,2026-07-01,1000000
SP055,2026-07-01,750000
SP056,2026-07-01,750000
SP057,2026-07-01,750000
SP058,2026-07-01,600000
SP059,2026-07-01,600000
SP060,2026-07-01,1000000
SP061,2026-07-01,750000
SP062,2026-07-01,1000000
SP063,2026-07-01,500000
SP064,2026-07-01,600000
SP065,2026-07-01,750000
SP066,2026-07-01,600000
SP067,2026-07-01,900000
SP068,2026-07-01,500000
SP069,2026-07-01,1000000
SP070,2026-07-01,750000
SP071,2026-07-01,750000
SP072,2026-07-01,500000
SP073,2026-07-01,600000
SP074,2026-07-01,1200000
SP075,2026-07-01,600000
SP076,2026-07-01,750000
SP077,2026-07-01,750000
SP078,2026-07-01,1200000
SP079,2026-07-01,1000000
SP080,2026-07-01,600000
SP001,2026-08-01,500000
SP002,2026-08-01,600000
SP003,2026-08-01,1000000
SP004,2026-08-01,900000
SP005,2026-08-01,600000
SP006,2026-08-01,600000
SP007,2026-08-01,1000000
SP008,2026-08-01,750000
SP009,2026-08-01,1000000
SP010,2026-08-01,600000
SP011,2026-08-01,900000
SP012,2026-08-01,750000
SP013,2026-08-01,900000
SP014,2026-08-01,600000
SP015,2026-08-01,500000
SP016,2026-08-01,1200000
SP017,2026-08-01,1000000
SP018,2026-08-01,1200000
SP019,2026-08-01,900000
SP020,2026-08-01,600000
SP021,2026-08-01,600000
SP022,2026-08-01,900000
SP023,2026-08-01,600000
SP024,2026-08-01,750000
SP025,2026-08-01,750000
SP026,2026-08-01,600000
SP027,2026-08-01,900000
SP028,2026-08-01,1000000
SP029,2026-08-01,1000000
SP030,2026-08-01,500000
SP031,2026-08-01,750000
SP032,2026-08-01,1200000
SP033,2026-08-01,900000
SP034,2026-08-01,900000
SP035,2026-08-01,900000
SP036,2026-08-01,500000
SP037,2026-08-01,1200000
SP038,2026-08-01,900000
SP039,2026-08-01,500000
SP040,2026-08-01,600000
SP041,2026-08-01,600000
SP042,2026-08-01,750000
SP043,2026-08-01,1000000
SP044,2026-08-01,1200000
SP045,2026-08-01,1200000
SP046,2026-08-01,1200000
SP047,2026-08-01,600000
SP048,2026-08-01,500000
SP049,2026-08-01,750000
SP050,2026-08-01,900000
SP051,2026-08-01,750000
SP052,2026-08-01,600000
SP053,2026-08-01,600000
SP054,2026-08-01,1000000
SP055,2026-08-01,750000
SP056,2026-08-01,750000
SP057,2026-08-01,750000
SP058,2026-08-01,600000
SP059,2026-08-01,600000
SP060,2026-08-01,1000000
SP061,2026-08-01,750000
SP062,2026-08-01,1000000
SP063,2026-08-01,500000
SP064,2026-08-01,600000
SP065,2026-08-01,750000
SP066,2026-08-01,600000
SP067,2026-08-01,900000
SP068,2026-08-01,500000
SP069,2026-08-01,1000000
SP070,2026-08-01,750000
SP071,2026-08-01,750000
SP072,2026-08-01,500000
SP073,2026-08-01,600000
SP074,2026-08-01,1200000
SP075,2026-08-01,600000
SP076,2026-08-01,750000
SP077,2026-08-01,750000
SP078,2026-08-01,1200000
SP079,2026-08-01,1000000
SP080,2026-08-01,600000
SP001,2026-09-01,500000
SP002,2026-09-01,600000
SP003,2026-09-01,1000000
SP004,2026-09-01,900000
SP005,2026-09-01,600000
SP006,2026-09-01,600000
SP007,2026-09-01,1000000
SP008,2026-09-01,750000
SP009,2026-09-01,1000000
SP010,2026-09-01,600000
SP011,2026-09-01,900000
SP012,2026-09-01,750000
SP013,2026-09-01,900000
SP014,2026-09-01,600000
SP015,2026-09-01,500000
SP016,2026-09-01,1200000
SP017,2026-09-01,1000000
SP018,2026-09-01,1200000
SP019,2026-09-01,900000
SP020,2026-09-01,600000
SP021,2026-09-01,600000
SP022,2026-09-01,900000
SP023,2026-09-01,600000
SP024,2026-09-01,750000
SP025,2026-09-01,750000
SP026,2026-09-01,600000
SP027,2026-09-01,900000
SP028,2026-09-01,1000000
SP029,2026-09-01,1000000
SP030,2026-09-01,500000
SP031,2026-09-01,750000
SP032,2026-09-01,1200000
SP033,2026-09-01,900000
SP034,2026-09-01,900000
SP035,2026-09-01,900000
SP036,2026-09-01,500000
SP037,2026-09-01,1200000
SP038,2026-09-01,900000
SP039,2026-09-01,500000
SP040,2026-09-01,600000
SP041,2026-09-01,600000
SP042,2026-09-01,750000
SP043,2026-09-01,1000000
SP044,2026-09-01,1200000
SP045,2026-09-01,1200000
SP046,2026-09-01,1200000
SP047,2026-09-01,600000
SP048,2026-09-01,500000
SP049,2026-09-01,750000
SP050,2026-09-01,900000
SP051,2026-09-01,750000
SP052,2026-09-01,600000
SP053,2026-09-01,600000
SP054,2026-09-01,1000000
SP055,2026-09-01,750000
SP056,2026-09-01,750000
SP057,2026-09-01,750000
SP058,2026-09-01,600000
SP059,2026-09-01,600000
SP060,2026-09-01,1000000
SP061,2026-09-01,750000
SP062,2026-09-01,1000000
SP063,2026-09-01,500000
SP064,2026-09-01,600000
SP065,2026-09-01,750000
SP066,2026-09-01,600000
SP067,2026-09-01,900000
SP068,2026-09-01,500000
SP069,2026-09-01,1000000
SP070,2026-09-01,750000
SP071,2026-09-01,750000
SP072,2026-09-01,500000
SP073,2026-09-01,600000
SP074,2026-09-01,1200000
SP075,2026-09-01,600000
SP076,2026-09-01,750000
SP077,2026-09-01,750000
SP078,2026-09-01,1200000
SP079,2026-09-01,1000000
SP080,2026-09-01,600000
SP001,2026-10-01,500000
SP002,2026-10-01,600000
SP003,2026-10-01,1000000
SP004,2026-10-01,900000
SP005,2026-10-01,600000
SP006,2026-10-01,600000
SP007,2026-10-01,1000000
SP008,2026-10-01,750000
SP009,2026-10-01,1000000
SP010,2026-10-01,600000
SP011,2026-10-01,900000
SP012,2026-10-01,750000
SP013,2026-10-01,900000
SP014,2026-10-01,600000
SP015,2026-10-01,500000
SP016,2026-10-01,1200000
SP017,2026-10-01,1000000
SP018,2026-10-01,1200000
SP019,2026-10-01,900000
SP020,2026-10-01,600000
SP021,2026-10-01,600000
SP022,2026-10-01,900000
SP023,2026-10-01,600000
SP024,2026-10-01,750000
SP025,2026-10-01,750000
SP026,2026-10-01,600000
SP027,2026-10-01,900000
SP028,2026-10-01,1000000
SP029,2026-10-01,1000000
SP030,2026-10-01,500000
SP031,2026-10-01,750000
SP032,2026-10-01,1200000
SP033,2026-10-01,900000
SP034,2026-10-01,900000
SP035,2026-10-01,900000
SP036,2026-10-01,500000
SP037,2026-10-01,1200000
SP038,2026-10-01,900000
SP039,2026-10-01,500000
SP040,2026-10-01,600000
SP041,2026-10-01,600000
SP042,2026-10-01,750000
SP043,2026-10-01,1000000
SP044,2026-10-01,1200000
SP045,2026-10-01,1200000
SP046,2026-10-01,1200000
SP047,2026-10-01,600000
SP048,2026-10-01,500000
SP049,2026-10-01,750000
SP050,2026-10-01,900000
SP051,2026-10-01,750000
SP052,2026-10-01,600000
SP053,2026-10-01,600000
SP054,2026-10-01,1000000
SP055,2026-10-01,750000
SP056,2026-10-01,750000
SP057,2026-10-01,750000
SP058,2026-10-01,600000
SP059,2026-10-01,600000
SP060,2026-10-01,1000000
SP061,2026-10-01,750000
SP062,2026-10-01,1000000
SP063,2026-10-01,500000
SP064,2026-10-01,600000
SP065,2026-10-01,750000
SP066,2026-10-01,600000
SP067,2026-10-01,900000
SP068,2026-10-01,500000
SP069,2026-10-01,1000000
SP070,2026-10-01,750000
SP071,2026-10-01,750000
SP072,2026-10-01,500000
SP073,2026-10-01,600000
SP074,2026-10-01,1200000
SP075,2026-10-01,600000
SP076,2026-10-01,750000
SP077,2026-10-01,750000
SP078,2026-10-01,1200000
SP079,2026-10-01,1000000
SP080,2026-10-01,600000
SP001,2026-11-01,500000
SP002,2026-11-01,600000
SP003,2026-11-01,1000000
SP004,2026-11-01,900000
SP005,2026-11-01,600000
SP006,2026-11-01,600000
SP007,2026-11-01,1000000
SP008,2026-11-01,750000
SP009,2026-11-01,1000000
SP010,2026-11-01,600000
SP011,2026-11-01,900000
SP012,2026-11-01,750000
SP013,2026-11-01,900000
SP014,2026-11-01,600000
SP015,2026-11-01,500000
SP016,2026-11-01,1200000
SP017,2026-11-01,1000000
SP018,2026-11-01,1200000
SP019,2026-11-01,900000
SP020,2026-11-01,600000
SP021,2026-11-01,600000
SP022,2026-11-01,900000
SP023,2026-11-01,600000
SP024,2026-11-01,750000
SP025,2026-11-01,750000
SP026,2026-11-01,600000
SP027,2026-11-01,900000
SP028,2026-11-01,1000000
SP029,2026-11-01,1000000
SP030,2026-11-01,500000
SP031,2026-11-01,750000
SP032,2026-11-01,1200000
SP033,2026-11-01,900000
SP034,2026-11-01,900000
SP035,2026-11-01,900000
SP036,2026-11-01,500000
SP037,2026-11-01,1200000
SP038,2026-11-01,900000
SP039,2026-11-01,500000
SP040,2026-11-01,600000
SP041,2026-11-01,600000
SP042,2026-11-01,750000
SP043,2026-11-01,1000000
SP044,2026-11-01,1200000
SP045,2026-11-01,1200000
SP046,2026-11-01,1200000
SP047,2026-11-01,600000
SP048,2026-11-01,500000
SP049,2026-11-01,750000
SP050,2026-11-01,900000
SP051,2026-11-01,750000
SP052,2026-11-01,600000
SP053,2026-11-01,600000
SP054,2026-11-01,1000000
SP055,2026-11-01,750000
SP056,2026-11-01,750000
SP057,2026-11-01,750000
SP058,2026-11-01,600000
SP059,2026-11-01,600000
SP060,2026-11-01,1000000
SP061,2026-11-01,750000
SP062,2026-11-01,1000000
SP063,2026-11-01,500000
SP064,2026-11-01,600000
SP065,2026-11-01,750000
SP066,2026-11-01,600000
SP067,2026-11-01,900000
SP068,2026-11-01,500000
SP069,2026-11-01,1000000
SP070,2026-11-01,750000
SP071,2026-11-01,750000
SP072,2026-11-01,500000
SP073,2026-11-01,600000
SP074,2026-11-01,1200000
SP075,2026-11-01,600000
SP076,2026-11-01,750000
SP077,2026-11-01,750000
SP078,2026-11-01,1200000
SP079,2026-11-01,1000000
SP080,2026-11-01,600000
SP001,2026-12-01,500000
SP002,2026-12-01,600000
SP003,2026-12-01,1000000
SP004,2026-12-01,900000
SP005,2026-12-01,600000
SP006,2026-12-01,600000
SP007,2026-12-01,1000000
SP008,2026-12-01,750000
SP009,2026-12-01,1000000
SP010,2026-12-01,600000
SP011,2026-12-01,900000
SP012,2026-12-01,750000
SP013,2026-12-01,900000
SP014,2026-12-01,600000
SP015,2026-12-01,500000
SP016,2026-12-01,1200000
SP017,2026-12-01,1000000
SP018,2026-12-01,1200000
SP019,2026-12-01,900000
SP020,2026-12-01,600000
SP021,2026-12-01,600000
SP022,2026-12-01,900000
SP023,2026-12-01,600000
SP024,2026-12-01,750000
SP025,2026-12-01,750000
SP026,2026-12-01,600000
SP027,2026-12-01,900000
SP028,2026-12-01,1000000
SP029,2026-12-01,1000000
SP030,2026-12-01,500000
SP031,2026-12-01,750000
SP032,2026-12-01,1200000
SP033,2026-12-01,900000
SP034,2026-12-01,900000
SP035,2026-12-01,900000
SP036,2026-12-01,500000
SP037,2026-12-01,1200000
SP038,2026-12-01,900000
SP039,2026-12-01,500000
SP040,2026-12-01,600000
SP041,2026-12-01,600000
SP042,2026-12-01,750000
SP043,2026-12-01,1000000
SP044,2026-12-01,1200000
SP045,2026-12-01,1200000
SP046,2026-12-01,1200000
SP047,2026-12-01,600000
SP048,2026-12-01,500000
SP049,2026-12-01,750000
SP050,2026-12-01,900000
SP051,2026-12-01,750000
SP052,2026-12-01,600000
SP053,2026-12-01,600000
SP054,2026-12-01,1000000
SP055,2026-12-01,750000
SP056,2026-12-01,750000
SP057,2026-12-01,750000
SP058,2026-12-01,600000
SP059,2026-12-01,600000
SP060,2026-12-01,1000000
SP061,2026-12-01,750000
SP062,2026-12-01,1000000
SP063,2026-12-01,500000
SP064,2026-12-01,600000
SP065,2026-12-01,750000
SP066,2026-12-01,600000
SP067,2026-12-01,900000
SP068,2026-12-01,500000
SP069,2026-12-01,1000000
SP070,2026-12-01,750000
SP071,2026-12-01,750000
SP072,2026-12-01,500000
SP073,2026-12-01,600000
SP074,2026-12-01,1200000
SP075,2026-12-01,600000
SP076,2026-12-01,750000
SP077,2026-12-01,750000
SP078,2026-12-01,1200000
SP079,2026-12-01,1000000
SP080,2026-12-01,600000
