Customer_ID,Customer_Name,Gender,Age,Age_Group,City,State,Region,Customer_Segment,Customer_Since
C00072,Customer 00072,Female,35,31-40,Kochi,Kerala,South,Small Business,2024-06-11
C00073,Customer 00073,Male,45,41-50,Surat,Gujarat,West,Small Business,2024-04-08
C00074,Customer 00074,Female,29,21-30,Chennai,Tamil Nadu,South,Corporate,2024-12-29
C00075,Customer 00075,Female,58,51-60,Delhi,Delhi,North,Corporate,2022-02-25
C00076,Customer 00076,Female,29,21-30,Chandigarh,Chandigarh,North,Small Business,2023-01-08
C00077,Customer 00077,Female,45,41-50,Jaipur,Rajasthan,North,Small Business,2023-03-10
C00078,Customer 00078,Female,42,41-50,Ahmedabad,Gujarat,West,Small Business,2023-07-24
C00079,Customer 00079,Female,26,21-30,Pune,Maharashtra,West,Small Business,2022-02-09
C00080,Customer 00080,Female,35,31-40,Jaipur,Rajasthan,North,Corporate,2022-05-21
C00081,Customer 00081,Male,36,31-40,Jaipur,Rajasthan,North,Consumer,2022-02-11
C00082,Customer 00082,Male,29,21-30,Bengaluru,Karnataka,South,Small Business,2022-08-23
C00083,Customer 00083,Female,37,31-40,Hyderabad,Telangana,South,Small Business,2022-12-10
C00084,Customer 00084,Male,40,31-40,Lucknow,Uttar Pradesh,North,Consumer,2025-03-31
C00085,Customer 00085,Female,57,51-60,Delhi,Delhi,North,Corporate,2024-02-08
C00086,Customer 00086,Male,25,21-30,Mumbai,Maharashtra,West,Corporate,2025-07-08
C00087,Customer 00087,Male,40,31-40,Kochi,Kerala,South,Corporate,2025-05-14
C00088,Customer 00088,Male,43,41-50,Lucknow,Uttar Pradesh,North,Corporate,2024-05-27
C00089,Customer 00089,Male,53,51-60,Ranchi,Jharkhand,East,Corporate,2023-11-30
C00090,Customer 00090,Female,52,51-60,Delhi,Delhi,North,Consumer,2024-06-06
C00091,Customer 00091,Female,30,21-30,Ranchi,Jharkhand,East,Small Business,2022-12-27
C00092,Customer 00092,Female,50,41-50,Kolkata,West Bengal,East,Small Business,2025-04-28
C00093,Customer 00093,Female,36,31-40,Kolkata,West Bengal,East,Consumer,2023-07-26
C00094,Customer 00094,Male,50,41-50,Ahmedabad,Gujarat,West,Corporate,2025-06-03
C00095,Customer 00095,Female,22,21-30,Mumbai,Maharashtra,West,Small Business,2023-10-28
C00096,Customer 00096,Female,34,31-40,Chennai,Tamil Nadu,South,Small Business,2023-06-14
C00097,Customer 00097,Female,59,51-60,Patna,Bihar,East,Corporate,2023-07-20
C00098,Customer 00098,Male,26,21-30,Delhi,Delhi,North,Consumer,2024-04-12
C00099,Customer 00099,Male,51,51-60,Surat,Gujarat,West,Corporate,2024-10-02
C00100,Customer 00100,Male,26,21-30,Ahmedabad,Gujarat,West,Small Business,2023-03-30
C00101,Customer 00101,Male,40,31-40,Mumbai,Maharashtra,West,Corporate,2025-04-06
C00102,Customer 00102,Female,56,51-60,Ranchi,Jharkhand,East,Corporate,2023-12-06
C00103,Customer 00103,Female,43,41-50,Pune,Maharashtra,West,Corporate,2024-07-18
C00104,Customer 00104,Female,37,31-40,Kolkata,West Bengal,East,Consumer,2022-09-05
C00105,Customer 00105,Female,28,21-30,Hyderabad,Telangana,South,Corporate,2025-01-02
C00106,Customer 00106,Male,34,31-40,Chennai,Tamil Nadu,South,Corporate,2024-09-18
C00107,Customer 00107,Female,27,21-30,Kolkata,West Bengal,East,Consumer,2023-08-30
C00108,Customer 00108,Female,32,31-40,Kochi,Kerala,South,Small Business,2022-01-29
C00109,Customer 00109,Female,23,21-30,Bengaluru,Karnataka,South,Consumer,2025-02-07
C00110,Customer 00110,Male,52,51-60,Bhubaneswar,Odisha,East,Consumer,2022-01-26
C00111,Customer 00111,Female,51,51-60,Bhubaneswar,Odisha,East,Small Business,2023-11-29
C00112,Customer 00112,Male,37,31-40,Chennai,Tamil Nadu,South,Small Business,2022-08-22
C00113,Customer 00113,Female,52,51-60,Chandigarh,Chandigarh,North,Consumer,2025-03-27
C00114,Customer 00114,Male,30,21-30,Jaipur,Rajasthan,North,Corporate,2023-09-15
C00115,Customer 00115,Male,28,21-30,Chandigarh,Chandigarh,North,Corporate,2024-05-02
C00116,Customer 00116,Female,49,41-50,Kochi,Kerala,South,Small Business,2023-09-01
C00117,Customer 00117,Female,57,51-60,Pune,Maharashtra,West,Corporate,2022-05-04
C00118,Customer 00118,Male,34,31-40,Lucknow,Uttar Pradesh,North,Small Business,2022-06-16
C00119,Customer 00119,Male,32,31-40,Chennai,Tamil Nadu,South,Corporate,2022-06-03
C00120,Customer 00120,Male,47,41-50,Chennai,Tamil Nadu,South,Small Business,2025-05-01
C00121,Customer 00121,Female,23,21-30,Surat,Gujarat,West,Consumer,2023-08-14
C00122,Customer 00122,Female,25,21-30,Bhubaneswar,Odisha,East,Corporate,2023-04-24
C00123,Customer 00123,Male,48,41-50,Kolkata,West Bengal,East,Consumer,2025-01-20
C00124,Customer 00124,Male,38,31-40,Kochi,Kerala,South,Consumer,2022-05-27
C00125,Customer 00125,Male,40,31-40,Jaipur,Rajasthan,North,Corporate,2025-03-11
C00126,Customer 00126,Female,28,21-30,Bhubaneswar,Odisha,East,Small Business,2023-09-15
C00127,Customer 00127,Female,53,51-60,Mumbai,Maharashtra,West,Corporate,2024-10-08
C00128,Customer 00128,Male,59,51-60,Ahmedabad,Gujarat,West,Consumer,2024-06-03
C00129,Customer 00129,Female,22,21-30,Patna,Bihar,East,Consumer,2023-04-14
C00130,Customer 00130,Female,57,51-60,Delhi,Delhi,North,Consumer,2022-12-25
C00131,Customer 00131,Female,38,31-40,Surat,Gujarat,West,Consumer,2025-04-13
C00132,Customer 00132,Female,26,21-30,Pune,Maharashtra,West,Small Business,2023-12-14
C00133,Customer 00133,Female,41,41-50,Pune,Maharashtra,West,Corporate,2022-08-03
C00134,Customer 00134,Female,47,41-50,Chennai,Tamil Nadu,South,Corporate,2024-10-11
C00135,Customer 00135,Female,56,51-60,Bhubaneswar,Odisha,East,Consumer,2024-07-20
C00136,Customer 00136,Female,37,31-40,Chandigarh,Chandigarh,North,Small Business,2022-08-26
C00137,Customer 00137,Male,55,51-60,Mumbai,Maharashtra,West,Small Business,2024-04-26
C00138,Customer 00138,Male,54,51-60,Jaipur,Rajasthan,North,Small Business,2025-06-29
C00139,Customer 00139,Female,24,21-30,Surat,Gujarat,West,Consumer,2023-07-01
C00140,Customer 00140,Female,49,41-50,Bengaluru,Karnataka,South,Corporate,2024-09-19
C00141,Customer 00141,Male,59,51-60,Lucknow,Uttar Pradesh,North,Consumer,2022-11-21
C00142,Customer 00142,Male,56,51-60,Bhubaneswar,Odisha,East,Small Business,2022-07-10
C00143,Customer 00143,Male,50,41-50,Kochi,Kerala,South,Consumer,2022-11-12
C00144,Customer 00144,Female,53,51-60,Surat,Gujarat,West,Corporate,2023-07-14
C00145,Customer 00145,Female,51,51-60,Pune,Maharashtra,West,Consumer,2024-07-24
C00146,Customer 00146,Female,33,31-40,Bengaluru,Karnataka,South,Corporate,2024-11-06
C00147,Customer 00147,Male,38,31-40,Bengaluru,Karnataka,South,Small Business,2023-11-28
C00148,Customer 00148,Male,39,31-40,Kolkata,West Bengal,East,Corporate,2023-09-04
C00149,Customer 00149,Male,49,41-50,Surat,Gujarat,West,Corporate,2024-09-18
C00150,Customer 00150,Female,56,51-60,Ranchi,Jharkhand,East,Corporate,2024-02-12
C00151,Customer 00151,Female,33,31-40,Ahmedabad,Gujarat,West,Corporate,2023-05-05
C00152,Customer 00152,Male,47,41-50,Mumbai,Maharashtra,West,Consumer,2023-10-14
C00153,Customer 00153,Female,45,41-50,Surat,Gujarat,West,Corporate,2022-11-08
C00154,Customer 00154,Male,29,21-30,Surat,Gujarat,West,Corporate,2025-04-23
C00155,Customer 00155,Male,49,41-50,Patna,Bihar,East,Consumer,2024-12-13
C00156,Customer 00156,Male,30,21-30,Ahmedabad,Gujarat,West,Small Business,2022-11-13
C00157,Customer 00157,Female,37,31-40,Chandigarh,Chandigarh,North,Small Business,2025-06-30
C00158,Customer 00158,Male,42,41-50,Mumbai,Maharashtra,West,Corporate,2024-12-28
C00159,Customer 00159,Female,52,51-60,Mumbai,Maharashtra,West,Corporate,2022-03-15
C00160,Customer 00160,Male,39,31-40,Chandigarh,Chandigarh,North,Consumer,2022-07-05
C00161,Customer 00161,Male,27,21-30,Pune,Maharashtra,West,Small Business,2022-12-07
C00162,Customer 00162,Male,23,21-30,Bhubaneswar,Odisha,East,Small Business,2022-04-25
C00163,Customer 00163,Female,44,41-50,Bhubaneswar,Odisha,East,Small Business,2022-10-26
C00164,Customer 00164,Female,57,51-60,Kochi,Kerala,South,Corporate,2023-01-04
C00165,Customer 00165,Male,26,21-30,Chennai,Tamil Nadu,South,Corporate,2024-02-23
C00166,Customer 00166,Female,58,51-60,Kochi,Kerala,South,Consumer,2023-04-21
C00167,Customer 00167,Female,50,41-50,Ahmedabad,Gujarat,West,Small Business,2022-01-20
C00168,Customer 00168,Female,55,51-60,Ahmedabad,Gujarat,West,Consumer,2022-06-01
C00169,Customer 00169,Female,58,51-60,Ahmedabad,Gujarat,West,Small Business,2024-05-18
C00170,Customer 00170,Female,40,31-40,Kolkata,West Bengal,East,Consumer,2024-02-27
C00171,Customer 00171,Male,36,31-40,Surat,Gujarat,West,Small Business,2025-03-17
C00172,Customer 00172,Female,39,31-40,Ranchi,Jharkhand,East,Consumer,2024-03-21
C00173,Customer 00173,Male,57,51-60,Kolkata,West Bengal,East,Corporate,2022-04-11
C00174,Customer 00174,Female,35,31-40,Surat,Gujarat,West,Corporate,2023-12-23
C00175,Customer 00175,Male,60,51-60,Kochi,Kerala,South,Small Business,2022-10-08
C00176,Customer 00176,Male,40,31-40,Lucknow,Uttar Pradesh,North,Small Business,2022-03-10
C00177,Customer 00177,Male,26,21-30,Ranchi,Jharkhand,East,Small Business,2023-11-01
C00178,Customer 00178,Male,33,31-40,Pune,Maharashtra,West,Consumer,2025-01-09
C00179,Customer 00179,Female,31,31-40,Ranchi,Jharkhand,East,Small Business,2024-09-13
C00180,Customer 00180,Female,28,21-30,Bhubaneswar,Odisha,East,Small Business,2022-06-04
C00181,Customer 00181,Male,46,41-50,Bengaluru,Karnataka,South,Corporate,2024-01-20
C00182,Customer 00182,Female,21,21-30,Chandigarh,Chandigarh,North,Small Business,2025-01-03
C00183,Customer 00183,Female,44,41-50,Lucknow,Uttar Pradesh,North,Corporate,2023-06-21
C00184,Customer 00184,Female,27,21-30,Mumbai,Maharashtra,West,Corporate,2023-04-24
C00185,Customer 00185,Male,60,51-60,Surat,Gujarat,West,Corporate,2023-11-03
C00186,Customer 00186,Male,50,41-50,Kochi,Kerala,South,Corporate,2023-09-11
C00187,Customer 00187,Male,29,21-30,Pune,Maharashtra,West,Consumer,2022-03-18
C00188,Customer 00188,Female,28,21-30,Bhubaneswar,Odisha,East,Consumer,2023-04-26
C00189,Customer 00189,Female,50,41-50,Bengaluru,Karnataka,South,Small Business,2025-01-11
C00190,Customer 00190,Male,47,41-50,Pune,Maharashtra,West,Corporate,2022-07-22
C00191,Customer 00191,Female,38,31-40,Surat,Gujarat,West,Consumer,2024-01-29
C00192,Customer 00192,Female,49,41-50,Hyderabad,Telangana,South,Consumer,2024-01-13
C00193,Customer 00193,Female,55,51-60,Lucknow,Uttar Pradesh,North,Corporate,2024-01-05
C00194,Customer 00194,Female,38,31-40,Jaipur,Rajasthan,North,Consumer,2022-09-08
C00195,Customer 00195,Male,34,31-40,Ahmedabad,Gujarat,West,Corporate,2025-05-07
C00196,Customer 00196,Male,42,41-50,Delhi,Delhi,North,Consumer,2022-09-15
C00197,Customer 00197,Male,56,51-60,Hyderabad,Telangana,South,Consumer,2025-04-15
C00198,Customer 00198,Male,42,41-50,Hyderabad,Telangana,South,Consumer,2025-05-05
C00199,Customer 00199,Female,30,21-30,Delhi,Delhi,North,Consumer,2025-01-11
C00200,Customer 00200,Male,28,21-30,Kolkata,West Bengal,East,Corporate,2022-02-22
C00201,Customer 00201,Male,43,41-50,Bengaluru,Karnataka,South,Consumer,2025-04-20
C00202,Customer 00202,Male,32,31-40,Patna,Bihar,East,Small Business,2022-04-18
C00203,Customer 00203,Female,54,51-60,Bengaluru,Karnataka,South,Consumer,2022-05-11
C00204,Customer 00204,Female,44,41-50,Surat,Gujarat,West,Corporate,2025-04-30
C00205,Customer 00205,Female,53,51-60,Lucknow,Uttar Pradesh,North,Consumer,2025-06-13
C00206,Customer 00206,Female,50,41-50,Jaipur,Rajasthan,North,Corporate,2022-03-05
C00207,Customer 00207,Female,46,41-50,Jaipur,Rajasthan,North,Small Business,2022-08-10
C00208,Customer 00208,Female,25,21-30,Surat,Gujarat,West,Consumer,2023-10-22
C00209,Customer 00209,Male,29,21-30,Bengaluru,Karnataka,South,Small Business,2025-07-02
C00210,Customer 00210,Female,59,51-60,Patna,Bihar,East,Corporate,2023-08-27
C00211,Customer 00211,Female,27,21-30,Ahmedabad,Gujarat,West,Corporate,2022-08-23
C00212,Customer 00212,Female,49,41-50,Hyderabad,Telangana,South,Consumer,2024-04-27
C00213,Customer 00213,Female,46,41-50,Patna,Bihar,East,Small Business,2022-07-14
C00214,Customer 00214,Female,41,41-50,Patna,Bihar,East,Corporate,2023-06-07
C00215,Customer 00215,Male,51,51-60,Ranchi,Jharkhand,East,Consumer,2022-07-06
C00216,Customer 00216,Male,48,41-50,Chandigarh,Chandigarh,North,Consumer,2024-02-03
C00217,Customer 00217,Male,58,51-60,Bengaluru,Karnataka,South,Corporate,2025-02-24
C00218,Customer 00218,Male,47,41-50,Patna,Bihar,East,Small Business,2024-05-16
C00219,Customer 00219,Female,59,51-60,Jaipur,Rajasthan,North,Small Business,2023-12-22
C00220,Customer 00220,Male,30,21-30,Lucknow,Uttar Pradesh,North,Corporate,2024-09-14
C00221,Customer 00221,Male,43,41-50,Kochi,Kerala,South,Corporate,2024-01-23
C00222,Customer 00222,Female,57,51-60,Lucknow,Uttar Pradesh,North,Consumer,2024-05-28
C00223,Customer 00223,Female,22,21-30,Delhi,Delhi,North,Consumer,2023-07-14
C00224,Customer 00224,Female,43,41-50,Bhubaneswar,Odisha,East,Consumer,2023-01-07
C00225,Customer 00225,Female,25,21-30,Bengaluru,Karnataka,South,Consumer,2025-07-20
C00226,Customer 00226,Male,54,51-60,Delhi,Delhi,North,Consumer,2024-02-10
C00227,Customer 00227,Female,42,41-50,Pune,Maharashtra,West,Consumer,2024-01-28
C00228,Customer 00228,Female,57,51-60,Bhubaneswar,Odisha,East,Corporate,2022-06-23
C00229,Customer 00229,Male,31,31-40,Jaipur,Rajasthan,North,Corporate,2022-04-12
C00230,Customer 00230,Female,49,41-50,Chandigarh,Chandigarh,North,Corporate,2024-05-18
C00231,Customer 00231,Female,47,41-50,Surat,Gujarat,West,Small Business,2023-03-18
C00232,Customer 00232,Female,48,41-50,Lucknow,Uttar Pradesh,North,Consumer,2023-08-04
C00233,Customer 00233,Female,23,21-30,Surat,Gujarat,West,Consumer,2024-03-20
C00234,Customer 00234,Male,34,31-40,Jaipur,Rajasthan,North,Small Business,2023-03-09
C00235,Customer 00235,Female,39,31-40,Bengaluru,Karnataka,South,Small Business,2022-09-03
C00236,Customer 00236,Female,48,41-50,Delhi,Delhi,North,Consumer,2022-09-22
C00237,Customer 00237,Male,53,51-60,Mumbai,Maharashtra,West,Corporate,2023-12-27
C00238,Customer 00238,Female,23,21-30,Chandigarh,Chandigarh,North,Small Business,2022-02-08
C00239,Customer 00239,Male,41,41-50,Ahmedabad,Gujarat,West,Corporate,2024-05-29
C00240,Customer 00240,Female,39,31-40,Mumbai,Maharashtra,West,Consumer,2024-04-09
C00241,Customer 00241,Female,31,31-40,Delhi,Delhi,North,Corporate,2024-07-31
C00242,Customer 00242,Male,48,41-50,Ranchi,Jharkhand,East,Consumer,2023-05-14
C00243,Customer 00243,Female,54,51-60,Pune,Maharashtra,West,Consumer,2024-03-21
C00244,Customer 00244,Female,35,31-40,Bhubaneswar,Odisha,East,Small Business,2022-12-11
C00245,Customer 00245,Male,54,51-60,Chandigarh,Chandigarh,North,Corporate,2023-02-02
C00246,Customer 00246,Female,30,21-30,Ranchi,Jharkhand,East,Consumer,2022-07-30
C00247,Customer 00247,Female,33,31-40,Bengaluru,Karnataka,South,Consumer,2025-05-18
C00248,Customer 00248,Male,32,31-40,Bengaluru,Karnataka,South,Corporate,2024-10-08
C00249,Customer 00249,Female,57,51-60,Ahmedabad,Gujarat,West,Corporate,2025-07-03
C00250,Customer 00250,Female,30,21-30,Patna,Bihar,East,Small Business,2022-05-20
C00251,Customer 00251,Female,40,31-40,Surat,Gujarat,West,Small Business,2025-04-26
C00252,Customer 00252,Female,53,51-60,Jaipur,Rajasthan,North,Consumer,2023-09-28
C00253,Customer 00253,Female,23,21-30,Ahmedabad,Gujarat,West,Consumer,2024-01-26
C00254,Customer 00254,Male,26,21-30,Bhubaneswar,Odisha,East,Corporate,2025-05-01
C00255,Customer 00255,Female,58,51-60,Mumbai,Maharashtra,West,Corporate,2022-03-26
C00256,Customer 00256,Male,41,41-50,Ahmedabad,Gujarat,West,Corporate,2024-09-01
C00257,Customer 00257,Male,49,41-50,Bengaluru,Karnataka,South,Consumer,2023-12-05
C00258,Customer 00258,Male,23,21-30,Chandigarh,Chandigarh,North,Consumer,2024-06-15
C00259,Customer 00259,Male,44,41-50,Ahmedabad,Gujarat,West,Small Business,2023-08-03
C00260,Customer 00260,Female,42,41-50,Mumbai,Maharashtra,West,Corporate,2025-05-09
C00261,Customer 00261,Female,25,21-30,Jaipur,Rajasthan,North,Small Business,2022-07-13
C00262,Customer 00262,Female,37,31-40,Mumbai,Maharashtra,West,Corporate,2025-05-19
C00263,Customer 00263,Female,26,21-30,Bengaluru,Karnataka,South,Corporate,2022-10-17
C00264,Customer 00264,Female,46,41-50,Ranchi,Jharkhand,East,Consumer,2025-05-03
C00265,Customer 00265,Female,56,51-60,Chandigarh,Chandigarh,North,Small Business,2023-11-04
C00266,Customer 00266,Male,48,41-50,Bengaluru,Karnataka,South,Corporate,2024-01-12
C00267,Customer 00267,Female,40,31-40,Delhi,Delhi,North,Consumer,2023-03-15
C00268,Customer 00268,Female,33,31-40,Patna,Bihar,East,Consumer,2022-10-09
C00269,Customer 00269,Male,39,31-40,Bengaluru,Karnataka,South,Consumer,2024-11-05
C00270,Customer 00270,Female,60,51-60,Jaipur,Rajasthan,North,Consumer,2025-05-08
C00271,Customer 00271,Male,31,31-40,Mumbai,Maharashtra,West,Consumer,2025-07-03
C00272,Customer 00272,Female,23,21-30,Chennai,Tamil Nadu,South,Small Business,2024-01-17
C00273,Customer 00273,Female,60,51-60,Kochi,Kerala,South,Small Business,2024-07-08
C00274,Customer 00274,Male,40,31-40,Kochi,Kerala,South,Small Business,2023-02-02
C00275,Customer 00275,Female,50,41-50,Ranchi,Jharkhand,East,Small Business,2024-02-22
C00276,Customer 00276,Male,33,31-40,Pune,Maharashtra,West,Corporate,2022-10-11
C00277,Customer 00277,Male,51,51-60,Kolkata,West Bengal,East,Small Business,2025-02-09
C00278,Customer 00278,Male,39,31-40,Lucknow,Uttar Pradesh,North,Consumer,2022-11-25
C00279,Customer 00279,Female,53,51-60,Kolkata,West Bengal,East,Consumer,2024-06-14
C00280,Customer 00280,Male,49,41-50,Chandigarh,Chandigarh,North,Small Business,2022-02-24
C00281,Customer 00281,Male,46,41-50,Pune,Maharashtra,West,Corporate,2024-02-05
C00282,Customer 00282,Female,26,21-30,Kochi,Kerala,South,Small Business,2023-04-05
C00283,Customer 00283,Female,27,21-30,Delhi,Delhi,North,Corporate,2023-11-18
C00284,Customer 00284,Male,23,21-30,Bengaluru,Karnataka,South,Small Business,2024-08-25
C00285,Customer 00285,Female,49,41-50,Bengaluru,Karnataka,South,Corporate,2022-01-11
C00286,Customer 00286,Male,37,31-40,Chandigarh,Chandigarh,North,Consumer,2022-11-03
C00287,Customer 00287,Male,39,31-40,Pune,Maharashtra,West,Consumer,2023-09-09
C00288,Customer 00288,Male,36,31-40,Lucknow,Uttar Pradesh,North,Small Business,2025-06-29
C00289,Customer 00289,Male,28,21-30,Ahmedabad,Gujarat,West,Small Business,2025-05-07
C00290,Customer 00290,Male,30,21-30,Delhi,Delhi,North,Small Business,2024-05-29
C00291,Customer 00291,Female,36,31-40,Delhi,Delhi,North,Corporate,2024-05-03
C00292,Customer 00292,Male,54,51-60,Chennai,Tamil Nadu,South,Small Business,2022-05-19
C00293,Customer 00293,Female,51,51-60,Delhi,Delhi,North,Consumer,2024-03-03
C00294,Customer 00294,Female,22,21-30,Ranchi,Jharkhand,East,Small Business,2022-05-19
C00295,Customer 00295,Male,27,21-30,Ranchi,Jharkhand,East,Corporate,2023-11-12
C00296,Customer 00296,Male,43,41-50,Bengaluru,Karnataka,South,Corporate,2023-11-25
C00297,Customer 00297,Female,51,51-60,Chennai,Tamil Nadu,South,Corporate,2023-01-09
C00298,Customer 00298,Male,50,41-50,Bengaluru,Karnataka,South,Consumer,2023-08-24
C00299,Customer 00299,Male,33,31-40,Hyderabad,Telangana,South,Consumer,2023-10-09
C00300,Customer 00300,Female,55,51-60,Bhubaneswar,Odisha,East,Small Business,2023-06-03
